STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR   37241 FX        FX         33.01       1.840       1441.      0.8200

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   07:28:27  JAN 27, 2022 CP=  25285.875

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
   0.20000E-01   42.8535
   0.40000E-01   85.7070
   0.60000E-01   128.561
   0.80000E-01   171.414
   0.10000       214.268
   0.12000       257.121
   0.14000       299.975
   0.16000       342.828
   0.18000       385.682
   0.20000       428.535
   0.22000       471.389
   0.24000       514.242
   0.26000       557.096
   0.28000       599.949
   0.30000       642.803
   0.32000       685.656
   0.34000       728.510
   0.36000       771.363
   0.38000       814.209
   0.40000       857.042
   0.42000       899.875
   0.44000       942.719
   0.46000       985.559
   0.48000       1028.38
   0.50000       1071.16
   0.52000       1113.89
   0.54000       1156.43
   0.56000       1198.96
   0.58000       1241.04
   0.60000       1281.52
   0.62000       1317.50
   0.64000       1348.58
   0.66000       1378.03
   0.68000       1399.36
   0.70000       1388.09
   0.72000       1385.19
   0.74000       1395.71
   0.76000       1409.62
   0.78000       1426.63
   0.80000       1437.99
   0.82000       1441.26
   0.84000       1411.21
   0.86000       1399.81
   0.88000       1365.77
   0.90000       1361.56
   0.92000       1361.29
   0.94000       1358.78
   0.96000       1351.68
   0.98000       1346.19
    1.0000       1337.96

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   07:28:27  JAN 27, 2022 CP=  25285.875

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.0200       1326.20
    1.0400       1307.74
    1.0600       1282.01
    1.0800       1221.86
    1.1000       1136.28
    1.1200       1017.11
    1.1400       889.760
    1.1600       718.189
    1.1800       482.905
    1.2000       305.505
    1.2200       187.232
    1.2400       154.375
    1.2600       135.694
    1.2800       119.569
    1.3000       102.004
    1.3200       82.2839
    1.3400       73.5221
    1.3600       68.1881
    1.3800       62.7121
    1.4000       59.3168
    1.4200       56.1076
    1.4400       53.2150
    1.4600       50.9185
    1.4800       49.0619
    1.5000       47.2712
    1.5200       44.4660
    1.5400       42.8601
    1.5600       41.3381
    1.5800       39.9815
    1.6000       39.2742
    1.6200       38.7287
    1.6400       37.7353
    1.6600       36.8087
    1.6800       35.6845
    1.7000       34.7518
    1.7200       34.3212
    1.7400       33.6779
    1.7600       33.4251
    1.7800       33.4714
    1.8000       33.0600
    1.8200       33.1419
    1.8400       33.0140
    1.8600       33.2823
    1.8800       33.4706
    1.9000       33.7417
    1.9200       33.9872
    1.9400       34.1465
    1.9600       34.3442
    1.9800       34.4106
    1.9900       34.3858

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   07:28:27  JAN 27, 2022 CP=  25285.875

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.9950       34.2707
    1.9970       34.1050
    1.9985       33.6960
    2.0000       33.4185
