STORAGE COMPLETE FOR    101 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1246 FX        FX         29.15       1.820       2307.       1.020

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:02:50  JAN 14, 2022 CP=   5002.781

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1246 FX
                  FX
   0.20000E-01   46.9188
   0.40000E-01   93.8377
   0.60000E-01   140.757
   0.80000E-01   187.675
   0.10000       234.594
   0.12000       281.513
   0.14000       328.432
   0.16000       375.351
   0.18000       422.270
   0.20000       469.188
   0.22000       516.107
   0.24000       563.026
   0.26000       609.945
   0.28000       656.864
   0.30000       703.783
   0.32000       750.701
   0.34000       797.620
   0.36000       844.539
   0.38000       891.458
   0.40000       938.377
   0.42000       985.296
   0.44000       1032.21
   0.46000       1079.13
   0.48000       1126.05
   0.50000       1172.97
   0.52000       1219.89
   0.54000       1266.81
   0.56000       1313.73
   0.58000       1360.65
   0.60000       1407.57
   0.62000       1454.48
   0.64000       1501.40
   0.66000       1548.32
   0.68000       1595.24
   0.70000       1642.16
   0.72000       1689.08
   0.74000       1736.00
   0.76000       1782.92
   0.78000       1829.83
   0.80000       1876.75
   0.82000       1922.99
   0.84000       1967.93
   0.86000       2009.72
   0.88000       2047.23
   0.90000       2085.31
   0.92000       2112.40
   0.94000       2151.17
   0.96000       2195.15
   0.98000       2238.31
    1.0000       2277.84

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:02:50  JAN 14, 2022 CP=   5002.781

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1246 FX
                  FX
    1.0200       2306.83
    1.0400       2289.73
    1.0600       2218.23
    1.0800       2104.96
    1.1000       1791.68
    1.1200       1496.95
    1.1400       1066.57
    1.1600       543.430
    1.1800       441.635
    1.2000       348.494
    1.2200       276.156
    1.2400       214.496
    1.2600       153.323
    1.2800       86.7944
    1.3000       67.1924
    1.3200       57.3419
    1.3400       49.7725
    1.3600       47.4429
    1.3800       45.1057
    1.4000       44.9667
    1.4200       44.6407
    1.4400       44.4278
    1.4600       43.5459
    1.4800       43.5214
    1.5000       43.3938
    1.5200       43.5414
    1.5400       42.7289
    1.5600       42.2557
    1.5800       42.1810
    1.6000       41.8318
    1.6200       40.5339
    1.6400       38.5191
    1.6600       36.8327
    1.6800       35.0850
    1.7000       32.9861
    1.7200       31.6233
    1.7400       30.6425
    1.7600       30.5696
    1.7800       30.1195
    1.8000       29.5995
    1.8200       29.1504
    1.8400       29.4241
    1.8600       29.5864
    1.8800       29.4984
    1.9000       29.6292
    1.9200       29.5845
    1.9400       29.8366
    1.9600       29.9814
    1.9800       30.2792
    1.9900       30.3130

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:02:50  JAN 14, 2022 CP=   5002.781

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1246 FX
                  FX
    2.0000       29.7506
